Incident Number,Incident_Type,Date_Reported,Cause_Category,Cause_Agent,Population_Density,Province,Latitude,Longitude,Substance,Release_Type,Significant,Pipeline_Type,Activity_in_Process,Pipeline_Involved,Rupture,Environmental_Impact,Source of Explosion,Source of Fire,Activity at time of fatality,Injury,Pax,Evacuees,Pipeline_Name,Pipeline_Length,Substance_Carried,Land_Use,Emergency_Level,Nominal_Pipe_Size,Pipe_Material,Material_Grade,Design_Thickness,Licensed_Max_Pressure,Actual_Operating_Pressure,Year_of_Manufacture,Year_of_Installation,Service_Year,Weld type ,Seam_Type,Seam_Joining_Method,Coating_Location,Coating_Type
INC2020-009,Serious Injury (CER),01/31/2020,Incorrect Operation,Human Factors,Low ,British Columbia,53.72092225,-122.6079215,Not Applicable,Not Applicable,Yes,Transmission,Construction,No,No,No,,,,Fracture,1,0,"SPECTRA - 30"" MAINLINE",1274.364117,"Natural Gas, Natural Gas Sweet",Developed Land - Industrial,Not Emergency,,,,,,,,,,,,,,
INC2010-110,Release of Substance,10/06/2010,Corrosion and Cracking,Maintenance,Unknown,Ontario,46.37985,-79.46885,Natural Gas - Sweet,Gas,No,,Operation,Yes,No,No,,,,,,0,LINE 100-1,2595.724534,Natural Gas,Unknown Land Use (Historical Data Migration),Level I,,,,,,,,,,,,,,
INC2010-111,Release of Substance,10/07/2010,Defect and Deterioration,Maintenance,Unknown,Alberta,54.0923,-116.62298,Natural Gas - Sweet,Gas,No,,Operation,Yes,No,No,,,,,,0,NGTL - Kaybob South #3 Meter Station,,,Unknown Land Use (Historical Data Migration),Level I,,,,,0,,,,,,,,,
INC2010-112,Release of Substance,10/07/2010,Defect and Deterioration,Human Factors,Unknown,Saskatchewan,50.53819444,-107.3048333,Fuel Gas,Gas,No,,Operation,Yes,No,No,,,,,,0,Foothills - Monchy Compressor Stn,,,Unknown Land Use (Historical Data Migration),Level I,,,,,0,,,,,,,,,
INC2010-113,Explosion,10/14/2010,External Interference,Tools and Equipment,Unknown,British Columbia,56.63939722,-121.6420556,Not Applicable,Not Applicable,No,,Maintenance,Yes,No,No,Under Investigation or Unknown,Under Investigation or Unknown,,,,0,,,,Unknown Land Use (Historical Data Migration),Level I,NPS 20,Carbon Steel,,,0,,,,,,,,,
INC2010-114,Release of Substance,10/15/2010,Incorrect Operation,Human Factors,Unknown,Ontario,42.83421028,-80.0417111,Crude Oil - Sweet,Liquid,No,,Operation,No,No,No,,,,,,0,Nanticoke Refinery,,,Unknown Land Use (Historical Data Migration),Level I,,,,,,,,,,,,,,
INC2010-116,Release of Substance,10/21/2010,Defect and Deterioration,Maintenance,Unknown,Ontario,46.43231389,-79.4676583,Natural Gas - Sweet,Gas,No,Gathering,Operation,No,No,No,,,,,,0,TCPL -  Widdifield Sales Meter Station,,,Unknown Land Use (Historical Data Migration),Level I,,,,,,,,,,,,,,
INC2010-118,Fire,10/27/2010,Incorrect Operation,Maintenance,Unknown,Ontario,49.79171111,-94.4943138,Not Applicable,Not Applicable,No,,Operation,Yes,No,No,,Equipment & Electrical,,,,0,LINE 100-1,2595.724534,Natural Gas,Unknown Land Use (Historical Data Migration),Level I,,,,,,,,,,,,,,
INC2010-119,Release of Substance,10/28/2010,Equipment Failure,Engineering and Planning,Unknown,Saskatchewan,50.67645278,-109.9787222,Natural Gas - Sweet,Gas,No,,Operation,Yes,No,No,,,,,,0,LINE 100-1,2595.724534,Natural Gas,Unknown Land Use (Historical Data Migration),Level I,,,,,,,,,,,,,,
INC2010-121,Release of Substance,11/01/2010,Defect and Deterioration,Maintenance,Unknown,Alberta,54.83012222,-118.6471944,Natural Gas - Sweet,Gas,No,,Operation,Yes,No,No,,,,,,0,NGTL - Gold Creek Compressor Station,,,Unknown Land Use (Historical Data Migration),Level I,NPS 1/2,Stainless Steel,,,0,,,,,,,,,
INC2010-122,Release of Substance,11/02/2010,Equipment Failure,Maintenance,Unknown,Saskatchewan,50.33116111,-103.6093333,Natural Gas - Sweet,Gas,No,,Operation,Yes,No,No,,,,,,0,,,,Unknown Land Use (Historical Data Migration),Level I,,,,,,,,,,,,,,
INC2010-123,Serious Injury (CER),11/05/2010,Incorrect Operation,Human Factors,Unknown,British Columbia,58.65305556,-122.6848278,Not Applicable,Not Applicable,Yes,,Construction,No,No,No,,,,,1,0,WEI - Fort Nelson North Processing Facility,,,Unknown Land Use (Historical Data Migration),Level I,,,,,,,,,,,,,,
INC2010-124,Operation Beyond Design Limits,11/05/2010,External Interference,Engineering and Planning,Unknown,Alberta,55.82576,-119.73576,Not Applicable,Not Applicable,No,,Operation,No,No,No,,,,,,0,,,,Unknown Land Use (Historical Data Migration),Level I,,,,,,,,,,,,,,
INC2010-127,Fire,11/15/2010,Equipment Failure,Engineering and Planning,Unknown,Manitoba,50.01944722,-99.3645055,Not Applicable,Not Applicable,No,,Operation,Yes,No,No,,Equipment & Electrical,,,,0,TCP Keystone Wellwood Pump Station,,,Unknown Land Use (Historical Data Migration),Level I,,,,,,,,,,,,,,
INC2010-128,Release of Substance,11/17/2010,Equipment Failure,Maintenance,Unknown,Alberta,54.67993889,-118.9943333,Natural Gas - Sweet,Gas,No,,Operation,Yes,No,No,,,,,,0,NGTL - Cutbank Lateral,,,Unknown Land Use (Historical Data Migration),Level I,,,,,,,,,,,,,,
INC2010-129,Release of Substance,11/19/2010,Corrosion and Cracking,Maintenance,Unknown,Ontario,43.11360833,-79.463075,Natural Gas - Sweet,Gas,No,,Operation,Yes,No,No,,,,,,0,Line 200-1,104.8390755,Natural Gas,Unknown Land Use (Historical Data Migration),Level I,,,,,,,,,,,,,,
INC2010-130,Release of Substance,11/19/2010,Equipment Failure,Maintenance,Unknown,Ontario,49.68026111,-87.5951138,Natural Gas - Sweet,Gas,No,,Operation,Yes,No,No,,,,,,0,TCPL - Station 77 (Jellicoe Compressor Station),,,Unknown Land Use (Historical Data Migration),Level I,,,,,,,,,,,,,,
